,S
2010-07-19,2.006933666317576
2010-07-20,2.0074027761138105
2010-07-21,1.995599516700093
2010-07-22,2.002985583826454
2010-07-23,2.0138172814534103
2010-07-26,2.0154931145534674
2010-07-27,2.0108882224227544
2010-07-28,2.007904039761104
2010-07-29,1.9920395317510151
2010-07-30,1.9915116943779418
2010-08-02,2.00854989794888
2010-08-03,1.981733357683954
2010-08-04,1.9801844190794415
2010-08-05,1.8926482527723765
2010-08-06,1.9135413654161582
2010-08-09,1.9142068103402003
2010-08-10,1.9163906152306547
2010-08-11,1.8978741246944453
2010-08-12,1.9263010419041142
2010-08-13,1.9078205623104205
2010-08-16,1.924391720280898
2010-08-17,1.8477969432335304
2010-08-18,1.8453774906985492
2010-08-19,1.8359670752613046
2010-08-20,1.866525493643865
2010-08-23,1.8677181354375887
2010-08-24,1.8042727248233446
2010-08-25,1.7835227436285623
2010-08-26,1.7692424124027792
2010-08-27,1.7332991819179513
2010-08-30,1.7526237591151654
2010-08-31,1.6945081400517823
2010-09-01,1.7075867288937894
2010-09-02,1.7764419036238208
2010-09-03,1.7869227690789093
2010-09-07,1.7554516997001826
2010-09-08,1.7529619718587672
2010-09-09,1.7602773323198784
2010-09-10,1.7165136851073384
2010-09-13,1.7010098782457133
2010-09-14,1.7070320680033129
2010-09-15,1.7050028449513894
2010-09-16,1.7106122777295545
2010-09-17,1.69067446875686
2010-09-20,1.6770579505502643
2010-09-21,1.6708564516819375
2010-09-22,1.6659535197657966
2010-09-23,1.6660435957538187
2010-09-24,1.624623157234521
2010-09-27,1.6415742339377872
2010-09-28,1.6643041481422693
2010-09-29,1.66315811118108
2010-09-30,1.6585159903977442
2010-10-01,1.6008202695422304
2010-10-04,1.5972937232583955
2010-10-05,1.5893124047124598
2010-10-06,1.6019250345193514
2010-10-07,1.607031018094006
2010-10-08,1.5887509352114175
2010-10-11,1.59418779026122
2010-10-12,1.5530286158489799
2010-10-13,1.547917785276907
2010-10-14,1.5708736465710942
2010-10-15,1.5902740900072745
2010-10-18,1.561489707443343
2010-10-19,1.5432586591794375
2010-10-20,1.5443168664781477
2010-10-21,1.5588239779995816
2010-10-22,1.5492761246557392
2010-10-25,1.5500314214632418
2010-10-26,1.5502602906995606
2010-10-27,1.5205789677185828
2010-10-28,1.5149662008489069
2010-10-29,1.4923739429469245
2010-11-01,1.4694853429376336
2010-11-02,1.4650475600525892
2010-11-03,1.4638502008018877
2010-11-04,1.4584625469532244
2010-11-05,1.4155323251310759
2010-11-08,1.4377159105312234
2010-11-09,1.420006683277958
2010-11-10,1.4222529186372084
