Date,V,V_raw,Volume,Price,TED,BAA,VIX,Phi_TED,Phi_BAA,Phi_VIX
2014-09-10,0.09630663355555555,0.09011090333333334,81099813,165.884,0.21,2.26,12.88,4.761904761904762,0.4424778761061947,7.763975155279502
2014-09-11,0.09615995627777778,0.08951805555555556,80566250,166.084,0.21,2.25,12.8,4.761904761904762,0.4444444444444444,7.8125
2014-09-12,0.10018978766666668,0.15741239555555556,141671156,165.073,0.21,2.27,13.31,4.761904761904762,0.44052863436123346,7.513148009015778
2014-09-15,0.09593115777777779,0.10236318111111112,92126863,164.938,0.21,2.28,14.12,4.761904761904762,0.4385964912280702,7.0821529745042495
2014-09-16,0.09866537327777777,0.1556046888888889,140044220,166.231,0.21,2.3,12.73,4.761904761904762,0.4347826086956522,7.855459544383346
2014-09-17,0.10484403772222221,0.20267768111111112,182409913,166.421,0.21,2.29,12.65,4.761904761904762,0.4366812227074236,7.905138339920948
2014-09-18,0.10633148794444444,0.12714014444444444,114426130,167.341,0.21,2.28,12.03,4.761904761904762,0.4385964912280702,8.31255195344971
2014-09-19,0.10988085038888888,0.16180037,145620333,167.176,0.21,2.26,12.11,4.761904761904762,0.4424778761061947,8.257638315441785
2014-09-22,0.11315395716666668,0.16743422,150690798,165.894,0.23,2.27,13.69,4.3478260869565215,0.44052863436123346,7.304601899196494
2014-09-23,0.11630346500000002,0.1485264311111111,133673788,164.918,0.22,2.26,14.93,4.545454545454546,0.4424778761061947,6.697923643670462
2014-09-24,0.12028717972222222,0.1430219677777778,128719771,166.241,0.22,2.27,13.27,4.545454545454546,0.44052863436123346,7.535795026375283
2014-09-25,0.12709379111111113,0.20027218555555557,180244967,163.539,0.22,2.27,15.64,4.545454545454546,0.44052863436123346,6.39386189258312
2014-09-26,0.13009738944444443,0.1381039788888889,124293581,164.832,0.22,2.27,14.85,4.545454545454546,0.44052863436123346,6.734006734006734
2014-09-29,0.1320246361111111,0.12685890666666666,114173016,164.545,0.22,2.27,15.98,4.545454545454546,0.44052863436123346,6.257822277847309
2014-09-30,0.13592229266666667,0.17497675222222223,157479077,164.133,0.22,2.29,16.31,4.545454545454546,0.4366812227074236,6.131207847946046
2014-10-01,0.14392413516666666,0.23702322444444446,213320902,161.874,0.21,2.31,16.71,4.761904761904762,0.4329004329004329,5.9844404548174746
2014-10-02,0.14870344200000002,0.2097355688888889,188762012,161.903,0.22,2.32,16.16,4.545454545454546,0.4310344827586207,6.188118811881188
2014-10-03,0.1499660135,0.16215823666666668,145942413,163.695,0.22,2.29,14.55,4.545454545454546,0.4366812227074236,6.8728522336769755
2014-10-06,0.1526564096111111,0.13974053888888888,125766485,163.511,0.21,2.3,15.46,4.761904761904762,0.4347826086956522,6.468305304010349
2014-10-07,0.15658372683333335,0.19719510555555556,177475595,160.957,0.21,2.3,17.2,4.761904761904762,0.4347826086956522,5.813953488372094
2014-10-08,0.16450485277777777,0.24853342222222222,223680080,163.8,0.22,2.32,15.11,4.545454545454546,0.4310344827586207,6.618133686300464
2014-10-09,0.17406626294444444,0.2807462588888889,252671633,160.553,0.22,2.34,18.76,4.545454545454546,0.4273504273504274,5.330490405117271
2014-10-10,0.18099161477777778,0.2959194322222222,266327489,158.706,0.22,2.36,21.24,4.545454545454546,0.42372881355932207,4.708097928436912
2014-10-13,0.19124836044444443,0.3074980944444444,276748285,156.094,0.22,2.36,24.64,4.545454545454546,0.42372881355932207,4.058441558441558
2014-10-14,0.19785405411111112,0.2877185622222222,258946706,156.342,0.21,2.39,22.79,4.761904761904762,0.41841004184100417,4.3878894251864855
2014-10-15,0.21310458483333333,0.5076882955555555,456919466,155.298,0.21,2.44,26.25,4.761904761904762,0.4098360655737705,3.8095238095238093
2014-10-16,0.22477481500000002,0.3605447477777778,324490273,155.166,0.2,2.47,25.2,5.0,0.4048582995951417,3.9682539682539684
2014-10-17,0.2309900612222222,0.28610529444444444,257494765,156.983,0.21,2.44,21.99,4.761904761904762,0.4098360655737705,4.547521600727603
